Name,Origin,Cylinders,Horsepower
ford fairmont (man),USA,4,88
plymouth volare,USA,6,100
amc concord,USA,6,90
buick century special,USA,6,105
mercury zephyr,USA,6,85
dodge aspen,USA,6,110
amc concord d/l,USA,6,120
chevrolet monte carlo landau,USA,8,145
buick regal sport coupe (turbo),USA,6,165
ford futura,USA,8,139
dodge magnum xe,USA,8,140
chevrolet chevette,USA,4,68
datsun 510,Japan,4,97
dodge omni,USA,4,75
toyota celica gt liftback,Japan,4,95
plymouth sapporo,USA,4,105
oldsmobile starfire sx,USA,4,85
datsun 200-sx,Japan,4,97
audi 5000,Europe,5,103
volvo 264gl,Europe,6,125
saab 99gle,Europe,4,115
peugeot 604sl,Europe,6,133
volkswagen scirocco,Europe,4,71
honda Accelerationord lx,Japan,4,68
pontiac lemans v6,USA,6,115
mercury zephyr 6,USA,6,85
ford fairmont 4,USA,4,88
amc concord dl 6,USA,6,90
dodge aspen 6,USA,6,110
chevrolet caprice classic,USA,8,130
ford ltd landau,USA,8,129
mercury grand marquis,USA,8,138
dodge st. regis,USA,8,135
buick estate wagon (sw),USA,8,155
ford country squire (sw),USA,8,142
chevrolet malibu classic (sw),USA,8,125
chrysler lebaron town @ country (sw),USA,8,150
vw rabbit custom,Europe,4,71
maxda glc deluxe,Japan,4,65
dodge colt hatchback custom,USA,4,80
amc spirit dl,USA,4,80
mercedes benz 300d,Europe,5,77
cadillac eldorado,USA,8,125
peugeot 504,Europe,4,71
oldsmobile cutlass salon brougham,USA,8,90
plymouth horizon,USA,4,70
plymouth horizon tc3,USA,4,70
datsun 210,Japan,4,65
fiat strada custom,Europe,4,69
buick skylark limited,USA,4,90
chevrolet citation,USA,6,115
oldsmobile omega brougham,USA,6,115
pontiac phoenix,USA,4,90
vw rabbit,Europe,4,76
toyota corolla tercel,Japan,4,60
chevrolet chevette,USA,4,70
datsun 310,Japan,4,65
chevrolet citation,USA,4,90
ford fairmont,USA,4,88
amc concord,USA,4,90
dodge aspen,USA,6,90
audi 4000,Europe,4,78
toyota corona liftback,Japan,4,90
mazda 626,Japan,4,75
datsun 510 hatchback,Japan,4,92
mazda glc,Japan,4,65
dodge colt,USA,4,105
vw rabbit c (diesel),Europe,4,48
vw dasher (diesel),Europe,4,48
audi 5000s (diesel),Europe,5,67
mercedes-benz 240d,Europe,4,67
honda civic 1500 gl,Japan,4,67
renault lecar deluxe,Europe,4,95
vokswagen rabbit,Europe,4,62
datsun 280-zx,Japan,6,132
mazda rx-7 gs,Japan,3,100
triumph tr7 coupe,Europe,4,88
ford mustang cobra,USA,4,95
honda Accelerationord,Japan,4,72
plymouth reliant,USA,4,84
buick skylark,USA,4,84
dodge aries wagon (sw),USA,4,92
chevrolet citation,USA,6,110
toyota starlet,Japan,4,58
plymouth champ,USA,4,64
honda civic 1300,Japan,4,60
subaru,Japan,4,67
toyota tercel,Japan,4,62
mazda glc 4,Japan,4,68
plymouth horizon 4,USA,4,63
ford escort 4w,USA,4,65
ford escort 2h,USA,4,65
volkswagen jetta,Europe,4,74
renault 18i,Europe,4,95
honda prelude,Japan,4,75
datsun 200sx,Japan,4,100
mazda 626,Japan,4,74
peugeot 505s turbo diesel,Europe,4,80
saab 900s,Europe,4,110
volvo diesel,Europe,6,76
toyota cressida,Japan,6,116
datsun 810 maxima,Japan,6,120
oldsmobile cutlass ls,USA,8,105
ford granada gl,USA,6,88
chrysler lebaron salon,USA,6,85
chevrolet cavalier,USA,4,88
chevrolet cavalier wagon,USA,4,88
chevrolet cavalier 2-door,USA,4,88
pontiac j2000 se hatchback,USA,4,85
dodge aries se,USA,4,84
ford fairmont futura,USA,4,92
amc concord dl,USA,4,95
volkswagen rabbit l,Europe,4,74
mazda glc custom l,Japan,4,68
mazda glc custom,Japan,4,68
plymouth horizon miser,USA,4,63
mercury lynx l,USA,4,70
nissan stanza xe,Japan,4,88
honda Accelerationord,Japan,4,75
toyota corolla,Japan,4,70
honda civic,Japan,4,67
honda civic (auto),Japan,4,67
datsun 310 gx,Japan,4,67
buick century limited,USA,6,110
oldsmobile cutlass ciera (diesel),USA,6,85
chrysler lebaron medallion,USA,4,92
ford granada l,USA,6,112
toyota celica gt,Japan,4,96
dodge charger 2.2,USA,4,84
chevrolet camaro,USA,4,90
ford mustang gl,USA,4,86
vw pickup,Europe,4,52
dodge rampage,USA,4,84
ford ranger,USA,4,79
chevy s-10,USA,4,82
